"name" "trimethylpyrazine" "2-ethoxy-3-methylpyrazine" "2-Ethyl-5-methylpyrazine" "2-Ethyl-3_5-dimethylpyrazine" "2_3-butanedione" "2_3-hexanedione" "2-methoxy-4-methylphenol" "Guaiacol" "2-acetyl-5-methylfuran" "4_5-dimethyl-3-hydroxy-2_5-dihydro-furan-2-one" "5-methylfurfural" "2-methyltetrahydrofuran-3-one" "Furan" "2-methylfuran" "2_5-Dimethyl-3(2H)-furanone" "4-Hydroxy-2_5-dimethyl-3(2H)-furanone" "4_5-Dimethyl-3-hydroxy-2_5-dihydrofuran-2-one" "3-methylbutyric_acid" "butyric_acid" "acetic_acid" "2-methylbutyric_acid" "Methylformate" "Propanal" "Methylacetate" "Ethylacetate" "Dimethylsulfide" "methional" "Methyl_butanal" "Pentanedione" "Butanone" "Methanethiol"
"mol_wt" 122.0844005 138.0793105 122.0844005 136.1000505 86.03678047 114.0680805 138.0680805 124.0524305 124.0524305 128.0473405 110.0367805 100.0524305 68.02621047 82.04186047 112.0524305 128.0473405 128.0473405 102.0680805 88.05243047 60.02113047 102.0680805 60.02113047 58.04186047 74.03678047 88.05243047 62.01902047 104.0295905 86.073164 100.052434 72.057514 48.003374
"mass_grams" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB" "conc/PPB"
150 495.633449046988 49.5622864913468 502.549264615085 73.0458194345124 25660.4181015745 534.668873901571 75.4324357235845 120.749125749418 68.0655899925065 18.3813780938592 1043.98790133877 5932.55503171106 21046.1026522889 50194.1530559531 434.662584312904 26.4874516632008 18.3813780938592 454.252774400083 1647.57129059734 30910.4540053568 454.252774400083 33276.0499751545 41098.5367013685 17498.8522345815 1676.1006635947 13255.5942043364 14.0631983102952 5898.41536076286 7847.2953543698 41655.0476821766 26125.1841856566
150 534.468361637625 58.6334089128448 541.926059706987 64.5939916342704 25555.3889359254 561.838469294102 89.2384343455384 127.702016473435 71.9848946362995 20.9505333611535 1173.83319194026 6258.18328606639 21782.7270230493 49523.237186329 466.963063004266 30.1895884458858 20.9505333611535 482.965759761866 1697.0986426055 32549.3259980103 482.965759761866 35040.3458447968 42153.070237506 17569.3100329518 1726.48563208785 13543.2278339414 15.1727312734545 6353.49637768574 8278.02057714402 42473.9629263911 27516.0699942374
20 408.989758009474 43.3287352561449 414.696591842165 43.8998034627441 9777.07929148432 400.679853795886 65.945142336482 96.2099820630321 54.233015366741 13.5367118932305 893.759007450869 3890.74753222452 5193.61486034638 17829.0410504965 358.068148505665 19.5063177591894 13.5367118932305 372.91463996014 1053.99878804268 13876.9698691055 372.91463996014 14938.9828692921 36150.9658223516 6838.92807477634 1072.24984930749 2476.15746511072 8.38402634008845 3320.86021067898 5146.49166698843 14938.8865953878 5767.04161740135
250 633.203658287229 67.1558016261063 642.039058170307 86.9334081880507 31955.650267224 686.81667530706 102.209281456607 153.864225860401 86.7323820932836 25.2224393563063 1305.77971207845 7433.78619481888 31249.3293225292 65865.2795083318 544.733381068505 36.3453784513233 25.2224393563063 565.044585783243 2058.76366599203 44144.8486319232 565.044585783243 47523.2809251826 53719.4020670882 23687.6535394534 2094.41325328194 18442.4814007039 19.0776564701196 7625.66353363721 9833.05094687939 56005.35925071 42889.6742727192
250 564.191329324573 58.1716575526355 572.063766477939 63.6079945298691 30605.4874513324 598.558534549554 88.535661486071 135.120575178441 76.1666936515416 22.6373779759643 1188.88105809764 6773.00462888171 30543.8498941286 64984.3554011022 482.118236570316 32.6203210585324 22.6373779759643 504.228991183705 1851.53988382883 41886.2384986154 504.228991183705 45091.8179755503 53167.6867438931 22523.6905041882 1883.60118051851 18659.6448142391 16.7957878963162 7311.03731889768 8959.0012187412 55250.4255596054 39261.6351852943
400 674.888477668372 69.5866731160924 684.305526193977 101.597204860499 38148.0652142312 728.787957750775 105.909000949022 162.290796881768 91.4823918728438 28.0456882174071 1384.79967823061 8107.69447096056 42160.4794752432 80946.7305694831 582.822095297224 40.4136625244624 28.0456882174071 611.510442301271 2287.69801154544 54621.160836103 611.510442301271 58801.351716417 62671.2765471456 29585.4881797583 2327.31182992718 24092.5164090803 20.7329347104824 8899.84517329337 10724.4640490538 68172.7474083353 55631.6184808217
50 412.379083232535 43.5303849263634 418.133209975314 54.3555525617471 16916.0711284855 435.406019485199 66.2520475836823 105.394458133081 59.4102518775647 15.5320677986771 895.259468492999 4600.33728845344 10808.996381369 31867.243959666 364.213647755653 22.381613225423 15.5320677986771 374.309956551858 1262.73089419457 17576.1893169322 374.309956551858 18921.3058462892 39861.0869999911 10284.0932270141 1284.59636422391 5525.6553859826 6.33333099255907 4137.93047708959 6085.10249618416 26611.3049714508 11889.7048473532
50 399.024011465006 42.1020033629797 404.591788369169 58.1347969427841 16290.1568884267 415.439071626664 64.0780901637091 100.198928081883 56.4815613709977 16.8118649554515 899.60677754355 4653.78024670458 9017.57033766383 25797.7449451608 361.394449653214 24.2257929792841 16.8118649554515 386.6236524269 1202.48475493406 17300.4650197846 386.6236524269 18624.4801998702 34280.7379554483 9121.66345691008 1223.30700177274 5428.34446501139 10.6173320805193 3636.25072614881 6155.79424295536 23534.617864295 10568.7909394396
5 303.527359183083 32.7595041356163 307.762624660056 37.7738811457619 2987.02268802408 230.354553077257 49.8590635135008 71.7914118957471 40.4684073425071 11.7163788120291 573.379954071859 1623.85988541388 1832.3595533211 3973.96047850041 249.543939035518 16.8832290955947 11.7163788120291 256.965540379051 507.088012675173 9034.68128333895 256.965540379051 9726.1109733904 11250.6806567451 2943.2771336932 515.868757483401 594.67398889566 5.36702637310087 790.53770417176 2147.96290415203 3104.45627488344 1367.40295645528
